X11 - Break,X12 - anger,X13 - threaten,X21 - gazeaway,X22 - walkaway ,time
0,0,0,0,0,0
0,0,0,0,0,0.5
0,0,0,0,0,1
0,0,0,0,0,1.5
0,0,0,0,0,2
0,0,0,0,0,2.5
0,0,0,0,0,3
0,0,0,0,0,3.5
0,0,0,0,0,4
0,0,0,0,0,4.5
0,0,0,0,0,5
0,0,0,0,0,5.5
0,0,0,0,0,6
0,0,0,0,0,6.5
0,0,0,0,0,7
0,0,0,0,0,7.5
0,0,0,0,0,8
0,0,0,0,0,8.5
0,0,0,0,0,9
0,0,0,0,0,9.5
0,0,0,0,0,10
0,0,0,0,0,10.5
0,0,0,0,0,11
0,0,0,0,0,11.5
0,0,0,0,0,12
0,0,0,0,0,12.5
0,0,0,0,0,13
0,0,0,0,0,13.5
0,0,0,0,0,14
0,0,0,0,0,14.5
0,0,0,0,0,15
0,0,0,0,0,15.5
0,0,0,0,0,16
0,0,0,0,0,16.5
0,0,0,0,0,17
0,0,0,0,0,17.5
0,0,0,0,0,18
0,0,0,0,0,18.5
0,0,0,0,0,19
0,0,0,0,0,19.5
0,0,0,0,0,20
0,0,0,0,0,20.5
0,0,0,0,0,21
0,0,0,0,0,21.5
2.73891616777747E-09,3.8850443938817E-07,3.27967362507528E-08,0,0,22
1.38973363525868E-08,1.99751838005958E-06,1.67271885010992E-07,0,0,22.5
4.260974557527E-08,6.28991878934499E-06,5.18211784700881E-07,0,0,23
1.02548669331762E-07,1.58399617793645E-05,1.26929891437479E-06,0,0,23.5
2.13914297451922E-07,3.54310928741267E-05,2.72002676239913E-06,0,0,24
4.06742936098751E-07,7.44664785347789E-05,5.37482323322076E-06,1.17916171800566E-15,1.48443436068706E-19,24.5
7.26044475604167E-07,0.000152154089427,1.01052481151475E-05,1.08957104488336E-14,1.36998891842838E-18,25
1.23926147464779E-06,0.00030828657191,1.84323736569258E-05,5.58416688624622E-14,7.01946286682139E-18,25.5
2.04620587838881E-06,0.000624261329854,3.29888485230851E-05,2.10337657015186E-13,2.64390801643605E-17,26
3.29076625937422E-06,0.001259885972583,5.82104816117463E-05,6.52133549626401E-13,8.1971046874272E-17,26.5
5.17223828297468E-06,0.002507385263488,0.000101247816535,1.76989283726321E-12,2.2246931859329E-16,27
7.95246982747558E-06,0.004848284097281,0.000172959901573,4.37243675395521E-12,5.49599061139968E-16,27.5
1.1954012231701E-05,0.00897027984317,0.000288679532981,1.01050069823419E-11,1.27016081922029E-15,28
1.75452163015457E-05,0.015682602043721,0.000468313196398,2.22896577420982E-11,2.80172243419146E-15,28.5
2.51112116463298E-05,0.025708981717155,0.000735385134977,4.76165029683801E-11,5.98520391156482E-15,29
3.5014191256504E-05,0.039444994068229,0.001114915120183,9.94619817421869E-11,1.25019644301567E-14,29.5
4.75504815508254E-05,0.056831602241127,0.00163044551093,2.04099418047129E-10,2.56544372618164E-14,30
6.2913546568172E-05,0.077414318011794,0.002300892628015,4.1158089500868E-10,5.17338904826466E-14,30.5
8.11705674440459E-05,0.100516864306024,0.003137994361539,8.13337126065456E-10,1.02232515486819E-13,31
0.000102256360678,0.125414477459132,0.00414491825792,1.56824724588524E-09,1.97119819779934E-13,31.5
0.000125983914245,0.151445254855682,0.00531620907667,2.93798712967189E-09,3.69284388239818E-13,32
0.000152067384089,0.178057915682415,0.006638883421938,5.33120396531402E-09,6.70082832725132E-13,32.5
0.000180151825219,0.204818619358948,0.008094256834531,9.35506378173069E-09,1.17581050989673E-12,33
0.000209844136953,0.231398412897922,0.009660045207327,1.58724213717592E-08,1.9948688986831E-12,33.5
0.000240741039144,0.257554608572919,0.011312367709929,2.60633681971667E-08,3.27546460905324E-12,34
0.000272451625017,0.283112476449937,0.013027417936867,4.14910498049379E-08,5.21381268167026E-12,34.5
0.000304613607142,0.307949609933416,0.014782704557365,6.41731506071521E-08,8.06299898473047E-12,35
0.000336903512736,0.331983407355742,0.016557862132139,9.66621190427332E-08,1.21428567536502E-11,35.5
0.000369041745289,0.355161359238507,0.018335090869404,1.42138964963501E-07,1.78514182529417E-11,36
0.000400793693653,0.377453621809823,0.020099308131221,2.04527336052191E-07,2.56787152538349E-11,36.5
0.000431968064569,0.398847369059181,0.021838095891505,2.88636702561126E-07,3.62239333230321E-11,37
0.000462413459939,0.419342498599617,0.023541517518037,4.00346065074118E-07,5.02171941829471E-11,37.5
0.000492014005927,0.438948359221969,0.025201861714372,5.46842948700513E-07,6.8547573166578E-11,38
0.00052068462411,0.45768124865825,0.026813355750806,7.36936967399924E-07,9.22993864691537E-11,38.5
0.000548366345114,0.475562493833116,0.028371876494028,9.81473502308611E-07,1.22799344537524E-10,39
0.000575021913869,0.492616974060202,0.029874676997159,1.29388186000919E-06,1.61677913387972E-10,39.5
0.000600631823074,0.508871983248634,0.03132013850144,1.69090489488033E-06,2.10949220962386E-10,40
0.000625190832829,0.524356353265434,0.032707552218028,2.19357540462923E-06,2.73115180830989E-10,40.5
0.000648704982695,0.539099779680419,0.034036931680227,2.82853166761844E-06,3.51301305374163E-10,41
0.000671189070927,0.553132305137623,0.035308854282958,3.62980517023801E-06,4.49434117438011E-10,41.5
